"Rank","Country/Territory","GDP(US$million)"
"","World","80,683,787"
"1","United States","19,390,604"
"2","China","12,237,700"
"3","Japan","4,872,137"
"4","Germany","3,677,439"
"5","United Kingdom","2,622,434"
"6","India","2,597,491"
"7","France","2,582,501"
"8","Brazil","2,055,506"
"9","Italy","1,934,798"
"10","Canada","1,653,043"
"11","Korea, South","1,577,524"
"12","Russia","1,530,751"
"13","Australia","1,323,421"
"14","Spain","1,311,320"
"15","Mexico","1,149,919"
"16","Indonesia","1,015,539"
"17","Turkey","851,102"
"18","Netherlands","826,200"
"19","Saudi Arabia","683,827"
"20","Switzerland","678,887"
"21","Argentina","637,590"
"22","Sweden","538,040"
"23","Poland","524,510"
"24","Belgium","492,681"
"25","Thailand","455,221"
"26","Iran","439,514"
"27","Austria","416,596"
"28","Norway","398,832"
"29","United Arab Emirates","382,575"
"30","Nigeria","375,771"
"31","Israel","350,851"
"32","South Africa","349,419"
"—","Hong Kong","341,449"
"33","Ireland","333,731"
"34","Denmark","324,872"
"35","Singapore","323,907"
"36","Malaysia","314,500"
"37","Philippines","313,595"
"38","Colombia","309,191"
"39","Pakistan","304,952"
"40","Chile","277,076"
"41","Finland","251,885"
"42","Bangladesh","249,724"
"43","Egypt","235,369"
"44","Vietnam","223,864"
"45","Portugal","217,571"
"46","Czech Republic","215,726"
"47","Romania","211,803"
"48","Peru","211,389"
"49","New Zealand","205,853"
"50","Greece","200,288"
"51","Iraq","197,716"
"52","Algeria","170,371"
"53","Qatar","167,605"
"54","Kazakhstan","159,407"
"55","Hungary","139,135"
"56","Angola","124,209"
"57","Kuwait","120,126"
"58","Sudan","117,488"
"59","Ukraine","112,154"
"60","Morocco","109,139"
"61","Ecuador","103,057"
"62","Slovak Republic","95,769"
"63","Sri Lanka","87,175"
"64","Ethiopia","80,561"
"65","Dominican Republic","75,932"
"66","Guatemala","75,620"
"67","Kenya","74,938"
"68","Oman","72,643"
"69","Myanmar","69,322"
"70","Luxembourg","62,404"
"71","Panama","61,838"
"72","Costa Rica","57,057"
"73","Bulgaria","56,832"
"74","Uruguay","56,157"
"75","Croatia","54,849"
"76","Belarus","54,442"
"77","Tanzania","52,090"
"78","Lebanon","51,844"
"79","Libya","50,984"
"—","Macau","50,361"
"80","Slovenia","48,770"
"81","Uzbekistan","48,718"
"82","Ghana","47,330"
"83","Lithuania","47,168"
"84","Turkmenistan","42,355"
"85","Serbia","41,432"
"86","Azerbaijan","40,748"
"87","Cote d'Ivoire","40,389"
"88","Tunisia","40,257"
"89","Jordan","40,068"
"90","Bolivia","37,509"
"91","Congo, Democratic Republic of the","37,241"
"92","Bahrain","35,307"
"93","Cameroon","34,799"
"94","Latvia","30,264"
"95","Paraguay","29,735"
"96","Estonia","25,921"
"97","Uganda","25,891"
"98","Zambia","25,809"
"99","El Salvador","24,805"
"100","Nepal","24,472"
"101","Iceland","23,909"
"102","Honduras","22,979"
"103","Cambodia","22,158"
"104","Trinidad and Tobago","22,105"
"105","Cyprus","21,652"
"106","Papua New Guinea","21,089"
"107","Afghanistan","20,815"
"108","Bosnia and Herzegovina","18,169"
"109","Zimbabwe","17,846"
"110","Botswana","17,407"
"111","Laos","16,853"
"112","Senegal","16,375"
"113","Mali","15,288"
"114","Georgia","15,159"
"115","Jamaica","14,768"
"116","Gabon","14,623"
"—","West Bank and Gaza","14,498"
"117","Nicaragua","13,814"
"118","Mauritius","13,338"
"119","Namibia","13,245"
"120","Albania","13,039"
"121","Burkina Faso","12,873"
"122","Malta","12,538"
"123","Equatorial Guinea","12,487"
"124","Mozambique","12,334"
"125","Bahamas, The","12,162"
"126","Brunei","12,128"
"127","Armenia","11,537"
"128","Madagascar","11,500"
"129","Mongolia","11,488"
"130","Macedonia","11,338"
"131","Guinea","10,491"
"132","Chad","9,981"
"133","Benin","9,274"
"134","Rwanda","9,137"
"135","Congo, Republic of the","8,723"
"136","Haiti","8,408"
"137","Moldova","8,128"
"138","Niger","8,120"
"139","Kyrgyzstan","7,565"
"140","Somalia","7,369"
"141","Tajikistan","7,146"
"—","Kosovo","7,129"
"142","Malawi","6,303"
"143","Fiji","5,061"
"144","Mauritania","5,025"
"145","Togo","4,813"
"146","Barbados","4,797"
"147","Montenegro","4,774"
"148","Maldives","4,597"
"149","Swaziland","4,409"
"150","Sierra Leone","3,774"
"151","Guyana","3,676"
"152","Burundi","3,478"
"153","Suriname","3,324"
"154","Andorra","3,013"
"155","Timor-Leste","2,955"
"156","Lesotho","2,639"
"157","Bhutan","2,512"
"158","Liberia","2,158"
"159","Central African Republic","1,949"
"160","Djibouti","1,845"
"161","Belize","1,838"
"162","Cabo Verde","1,754"
"163","Saint Lucia","1,712"
"164","San Marino","1,659"
"165","Antigua and Barbuda","1,532"
"166","Seychelles","1,486"
"167","Guinea-Bissau","1,347"
"168","Solomon Islands","1,303"
"169","Grenada","1,119"
"170","Gambia, The","1,015"
"171","Saint Kitts and Nevis","946"
"172","Vanuatu","863"
"173","Samoa","857"
"174","Saint Vincent and the Grenadines","790"
"175","Comoros","649"
"176","Dominica","563"
"177","Tonga","426"
"178","Sao Tome and Principe","391"
"179","Micronesia, Federated States of","336"
"180","Palau","292"
"181","Marshall Islands","199"
"182","Kiribati","196"
"183","Nauru","114"
"184","Tuvalu","40"
