"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"1","1","1","From the Ashes of Tragedy","8.6","3,428","The murders of Nicole Brown Simpson and Ron Goldman lead the LAPD to the home of O.J. Simpson.","1 Nov. 2016"
"2","1","2","The Run of His Life","8.3","2,774","O.J. Simpson's lawyers must handle an intense situation when he goes missing.","9 Feb. 2016"
"3","1","3","The Dream Team","8.3","2,487","With a provocative strategy devised, Robert Shapiro begins putting together O.J. Simpson's legal counsel.","16 Feb. 2016"
"4","1","4","100% Not Guilty","8.6","2,431","As jury selection gets underway, the entrance of Johnnie Cochran adds an interesting energy to the case.","23 Feb. 2016"
"5","1","5","The Race Card","8.6","2,310","As the trial begins, Christopher Darden and Johnnie Cochran go head to head in court and the jury visits the crime scene.","1 Mar. 2016"
"6","1","6","Marcia, Marcia, Marcia","9.0","2,615","Tensions rise as the defense starts taking aims at racial implications in the case, and as Marcia faces an ongoing divorce and negative representation in the media.","8 Mar. 2016"
"7","1","7","Conspiracy Theories","8.7","2,166","The infamous live fitting of the gloves is contemplated as both the defense and the prosecution face obstacles in and out of the courtroom.","15 Mar. 2016"
"8","1","8","A Jury in Jail","8.6","2,173","The jury become tired and restless as the case continues, meanwhile the defence juggle with the idea of putting OJ on the stands","22 Mar. 2016"
"9","1","9","Manna from Heaven","9.2","2,489","Johnnie Cochran and F. Lee Bailey go across the country to acquire the Mark Fuhrman tapes.","29 Mar. 2016"
"10","1","10","The Verdict","9.2","2,417","Closing statements are given and the jury must decide the verdict. Effects of the verdict are highlighted for both sides, as well as the community.","5 Apr. 2016"
"11","2","1","The Man Who Would Be Vogue","8.5","2,757","The murder of Gianni Versace turns the eyes of the world onto Miami Beach.","18 Mar. 2018"
"12","2","2","Manhunt","8.0","1,812","Andrew Cunanan arrives in Miami to stalk Gianni Versace.","18 Mar. 2018"
"13","2","3","A Random Killing","8.2","1,720","Chicago real estate tycoon Lee Miglin is murdered in what police describe as a random killing.","18 Mar. 2018"
"14","2","4","House by the Lake","8.5","1,828","Minneapolis architect David Madson is forced to go on the run with Andrew Cunanan.","25 Mar. 2018"
"15","2","5","Don't Ask, Don't Tell","7.9","1,501","Naval officer Jeffrey Trail meets Andrew Cunanan for the first time, while Gianni reveals his sexuality to the world.","25 Mar. 2018"
"16","2","6","Descent","8.0","1,345","Andrew Cunanan celebrates his birthday in San Diego as his life starts to fall apart.","25 Mar. 2018"
"17","2","7","Ascent","7.6","1,284","Andrew Cunanan leaves behind a troubled family life, while Donatella struggles to find her role within the Versace empire.","27 Mar. 2018"
"18","2","8","Creator/Destroyer","8.5","1,344","A young Andrew Cunanan struggles with his oppressive father, as a young Gianni Versace becomes a designer.","27 Mar. 2018"
"19","2","9","Alone","8.6","1,278","The hunt for spree-killer Andrew Cunanan comes to a frantic end.","27 Mar. 2018"
